userid,age,gender,country
User 1,25,Other,IN
User 2,41,Female,US
User 3,59,Female,UK
User 4,72,Female,UK
User 5,74,Male,UK
User 6,44,Male,UK
User 7,59,Male,IN
User 8,20,Other,UK
User 9,42,Other,US
User 10,28,Female,US
User 11,60,Female,IN
User 12,31,Male,US
User 13,27,Other,US
User 14,39,Male,US
User 15,32,Male,UK
User 16,65,Other,UK
User 17,70,Other,IN
User 18,53,Female,US
User 19,30,Other,UK
User 20,47,Male,US
User 21,71,Female,UK
User 22,78,Male,IN
User 23,70,Male,US
User 24,18,Other,US
User 25,38,Other,US
User 26,51,Female,UK
User 27,79,Male,US
User 28,77,Male,UK
User 29,23,Other,UK
User 30,46,Female,UK
User 31,45,Female,IN
User 32,29,Female,US
User 33,51,Male,US
User 34,20,Other,IN
User 35,68,Male,UK
User 36,36,Other,IN
User 37,24,Female,US
User 38,78,Other,IN
User 39,62,Other,US
User 40,43,Male,IN
User 41,36,Male,UK
User 42,26,Female,IN
User 43,47,Other,IN
User 44,45,Female,UK
User 45,76,Other,IN
User 46,55,Female,US
User 47,43,Female,IN
User 48,50,Female,IN
User 49,21,Female,US
User 50,20,Male,UK
User 51,45,Other,US
User 52,68,Male,US
User 53,53,Female,IN
User 54,65,Female,UK
User 55,55,Female,IN
User 56,68,Female,UK
User 57,26,Male,US
User 58,37,Other,UK
User 59,62,Female,UK
User 60,55,Male,IN
User 61,37,Male,IN
User 62,60,Male,UK
User 63,80,Female,UK
User 64,68,Other,UK
User 65,78,Male,UK
User 66,19,Female,UK
User 67,50,Other,IN
User 68,22,Female,IN
User 69,61,Male,US
User 70,50,Other,US
User 71,39,Other,IN
User 72,28,Female,UK
User 73,32,Other,US
User 74,55,Female,UK
User 75,31,Male,US
User 76,74,Male,US
User 77,73,Male,US
User 78,52,Other,US
User 79,41,Male,IN
User 80,56,Male,IN
User 81,60,Female,IN
User 82,72,Other,UK
User 83,48,Other,IN
User 84,39,Other,US
User 85,42,Female,US
User 86,19,Other,IN
User 87,48,Female,IN
User 88,59,Female,UK
User 89,20,Male,UK
